% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.197	1	14	20	8	35	20	161	1
0.197	1	13	20	8	43	20	161	1
0.198	1	4	20	9	93	20	161	0
0.198	1	6	20	9	97	20	161	0
0.198	1	5	20	9	54	20	161	1
0.198	1	3	20	9	62	20	161	1
0.199	1	2	20	10	100	20	161	0
0.199	1	9	20	10	102	20	161	0
0.199	1	11	20	10	69	20	161	1
0.199	1	8	20	10	75	20	161	1
0.2	1	1	21	1	1	20	161	0
0.2	1	10	21	1	14	20	161	0
0.2	1	15	21	1	82	20	161	1
0.2	1	7	21	1	88	20	161	1
0.201	1	12	21	2	26	20	161	0
0.201	1	14	21	2	35	20	161	0
0.201	1	4	21	2	93	20	161	1
0.201	1	6	21	2	97	20	161	1
0.202	1	13	21	3	43	20	161	0
0.202	1	5	21	3	54	20	161	0
0.202	1	2	21	3	100	20	161	1
0.202	1	9	21	3	102	20	161	1
0.203	1	3	21	4	62	20	161	0
0.203	1	11	21	4	69	20	161	0
0.203	1	1	21	4	1	20	161	1
0.203	1	10	21	4	14	20	161	1
0.204	1	8	21	5	75	20	161	0
0.204	1	15	21	5	82	20	161	0
0.204	1	12	21	5	26	20	161	1
0.204	1	14	21	5	35	20	161	1
0.205	1	7	21	6	88	20	161	0
0.205	1	4	21	6	93	20	161	0
0.205	1	13	21	6	43	20	161	1
0.205	1	5	21	6	54	20	161	1
0.206	1	6	21	7	97	20	161	0
0.206	1	2	21	7	100	20	161	0
0.206	1	3	21	7	62	20	161	1
0.206	1	11	21	7	69	20	161	1
0.207	1	9	21	8	102	20	161	0
0.207	1	1	21	8	1	20	161	0
0.207	1	8	21	8	75	20	161	1
0.207	1	15	21	8	82	20	161	1
0.208	1	10	21	9	14	20	161	0
0.208	1	12	21	9	26	20	161	0
0.208	1	7	21	9	88	20	161	1
0.208	1	4	21	9	93	20	161	1
0.209	1	14	21	10	35	20	161	0
0.209	1	13	21	10	43	20	161	0
0.209	1	6	21	10	97	20	161	1
0.209	1	2	21	10	100	20	161	1
0.21	1	5	22	1	54	20	161	0
0.21	1	3	22	1	62	20	161	0
0.21	1	9	22	1	102	20	161	1
0.21	1	1	22	1	1	20	161	1
0.211	1	11	22	2	69	20	161	0
0.211	1	8	22	2	75	20	161	0
0.211	1	10	22	2	14	20	161	1
0.211	1	12	22	2	26	20	161	1
0.212	1	15	22	3	82	20	161	0
0.212	1	7	22	3	88	20	161	0
0.212	1	14	22	3	35	20	161	1
0.212	1	13	22	3	43	20	161	1
0.213	1	4	22	4	93	20	161	0
